OriginalName,Precursor,geneID,ensemblID,type,entrezID
hsa-let-7a-3p,hsa-let-7a-1,MIRLET7A1,ENSG00000199165,hsa,406881
hsa-let-7a-5p,hsa-let-7a-1,MIRLET7A1,ENSG00000199165,hsa,406881
hsa-let-7b-5p,hsa-let-7b,MIRLET7B,ENSG00000284520,hsa,406884
hsa-let-7c-5p,hsa-let-7c,MIRLET7C,ENSG00000199030,hsa,406885
hsa-let-7d-3p,hsa-let-7d,MIRLET7D,ENSG00000199133,hsa,406886
hsa-let-7d-5p,hsa-let-7d,MIRLET7D,ENSG00000199133,hsa,406886
hsa-let-7e-5p,hsa-let-7e,MIRLET7E,ENSG00000198972,hsa,406887
hsa-let-7f-5p,hsa-let-7f-1,MIRLET7F1,ENSG00000199072,hsa,406888
hsa-let-7g-5p,hsa-let-7g,MIRLET7G,ENSG00000199150,hsa,406890
hsa-let-7i-5p,hsa-let-7i,MIRLET7I,ENSG00000199179,hsa,406891
hsa-miR-1,hsa-mir-1-1,MIR1-1,ENSG00000199017,hsa,406904
hsa-miR-100-5p,hsa-mir-100,MIR100,ENSG00000207994,hsa,406892
hsa-miR-101-3p,hsa-mir-101-2,MIR101-2,ENSG00000199065,hsa,406894
hsa-miR-103a-3p,hsa-mir-103a-1,MIR103A1,ENSG00000199035,hsa,406895
hsa-miR-103b,hsa-mir-103b-1,MIR103B1,ENSG00000283612,hsa,100302238
hsa-miR-105-5p,hsa-mir-105-1,MIR105-1,ENSG00000207957,hsa,406897
hsa-miR-106b-3p,hsa-mir-106b,MIR106B,ENSG00000208036,hsa,406900
hsa-miR-107,hsa-mir-107,MIR107,ENSG00000198997,hsa,406901
hsa-miR-1180-3p,hsa-mir-1180,MIR1180,ENSG00000221540,hsa,100302256
hsa-miR-1185-5p,hsa-mir-1185-1,MIR1185-1,ENSG00000221525,hsa,100302157
hsa-miR-1224-5p,hsa-mir-1224,MIR1224,ENSG00000221120,hsa,100187716
hsa-miR-124-3p,hsa-mir-124-1,MIR124-1,ENSG00000284321,hsa,406907
hsa-miR-124-5p,hsa-mir-124-1,MIR124-1,ENSG00000284321,hsa,406907
