Sample,total_reads,avg_input_read_length,uniquely_mapped,uniquely_mapped_percent,avg_mapped_read_length,num_splices,num_annotated_splices,num_GTAG_splices,num_GCAG_splices,num_ATAC_splices,num_noncanonical_splices,mismatch_rate,deletion_rate,deletion_length,insertion_rate,insertion_length,multimapped,multimapped_percent,multimapped_toomany,multimapped_toomany_percent,unmapped_mismatches_percent,unmapped_tooshort_percent,unmapped_other_percent,unmapped_mismatches,unmapped_tooshort,unmapped_other,featureCounts_mqc-generalstats-percent_assigned,featureCounts_mqc-generalstats-Assigned,Picard_mqc-generalstats-PCT_RIBOSOMAL_BASES,Picard_mqc-generalstats-PCT_MRNA_BASES,Picard_mqc-generalstats-PCT_PF_READS_ALIGNED,Picard_mqc-generalstats-summed_median,Picard_mqc-generalstats-summed_mean,Picard_mqc-generalstats-PERCENT_DUPLICATION,STAR_mqc-generalstats-uniquely_mapped_percent,STAR_mqc-generalstats-uniquely_mapped,FastQC_mqc-generalstats-percent_duplicates,FastQC_mqc-generalstats-percent_gc,FastQC_mqc-generalstats-avg_sequence_length,FastQC_mqc-generalstats-percent_fails,FastQC_mqc-generalstats-total_sequences,Total,Assigned,Unassigned_Ambiguity,Unassigned_MultiMapping,Unassigned_NoFeatures,Unassigned_Unmapped,Unassigned_MappingQuality,Unassigned_FragmentLength,Unassigned_Chimera,Unassigned_Secondary,Unassigned_Nonjunction,Unassigned_Duplicate,percent_assigned,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,PF_NOT_ALIGNED_BASES
05800f53-db25-47a7-8b0c-e1e4decbbc4e,70965153,152,65851014,92.79,151.24,10490282,10270015,10382865,89006,8978,9433,0.3,0.01,1.72,0.01,1.45,3543628,4.99,81407,0.11,0,1.95,0.15,0,1382739,106365,32.0146541533882,25419815,7e-04,40.7959,0.977869,180,202.041496,0.166711,92.79,65851014,29.9091390098242,46,76,9.09090909090909,70965153,79400561,25419815,1506819,11979036,38924380,1570511,0,0,0,0,0,0,32.0146541533882,10786703256,10493470435,75696,2184824053,2096080363,5520282303,692209601,0,0,0,7e-04,20.8208,19.9751,52.6068,6.5966,40.7959,39.6869,0,0.489156,0.40945,0.639208,0.611094,293232821
06c924a1-fe27-4bb0-b04e-134848ab7051,70117013,152,65279278,93.1,151.22,9905718,9690908,9804618,83020,8637,9443,0.34,0.01,1.64,0.01,1.44,3260877,4.65,87990,0.13,0,2,0.13,0,1397998,90870,32.0441184817473,24750590,4e-04,40.2372,0.977511,179,202.499933,0.155054,93.1,65279278,28.4282512758957,45,76,4.54545454545455,70117013,77239104,24750590,1566989,10382968,38961699,1576858,0,0,0,0,0,0,32.0441184817473,10657785976,10362830604,38456,2031939662,2137768409,5571904672,621182773,0,0,0,4e-04,19.608,20.6292,53.7682,5.9943,40.2372,39.1236,0,0.489843,0.374145,0.709924,0.499847,294955372
0a8420d6-9f4f-4bd3-9390-cc55b17e8034,84660115,152,78588500,92.83,151.33,14535507,14267344,14387406,124353,12886,10862,0.26,0.01,1.64,0.01,1.43,4525349,5.35,119649,0.14,0,1.56,0.13,0,1316877,109740,36.0257243218156,34202555,5e-04,46.4914,0.981736,170,189.907035,0.177907,92.83,78588500,33.814653874266,46,76,9.09090909090909,84660115,94939257,34202555,2224426,14804491,42161519,1546266,0,0,0,0,0,0,36.0257243218156,12868337480,12575510408,58368,2959323572,2887213155,5968931514,759985863,0,0,0,5e-04,23.5324,22.959,47.4647,6.0434,46.4914,45.4335,0,0.501564,0.392519,0.717503,0.509923,292827072
17fcfd15-3ab9-4d10-bb65-3d83b9df6206,69041288,152,63961127,92.64,151.3,11128411,10882562,11017029,92094,9089,10199,0.28,0.01,1.63,0.01,1.44,3754128,5.44,99383,0.14,0,1.66,0.12,0,1143954,82696,34.4688653537448,26924752,2e-04,44.9357,0.980794,176,198.701943,0.178687,92.64,63961127,33.0838794734464,46,76,9.09090909090909,69041288,78113253,26924752,1845966,12826093,35190409,1326033,0,0,0,0,0,0,34.4688653537448,10494275776,10243154724,19608,2261601222,2341231550,4959985421,680317293,0,0,0,2e-04,22.0791,22.8565,48.4224,6.6417,44.9357,43.8604,0,0.485555,0.396956,0.677474,0.525159,251121052
29e803f7-c848-446b-8ed2-a724d72c9b14,50257056,152,46528379,92.58,151.26,6665184,6513151,6597637,55753,5645,6149,0.32,0.01,1.7,0.01,1.42,2630463,5.23,74738,0.15,0,1.91,0.13,0,958254,65222,29.7569302346382,16767441,3e-04,38.9993,0.978148,194,218.866332,0.166389,92.58,46528379,27.1351976033547,46,76,9.09090909090909,50257056,56348020,16767441,1351832,8721427,28409106,1098214,0,0,0,0,0,0,29.7569302346382,7639072512,7434740663,20672,1371464399,1528028773,4058310369,476916908,0,0,0,3e-04,18.4467,20.5525,54.5858,6.4147,38.9993,37.9561,0,0.495837,0.418899,0.642852,0.568023,204331849
2b02afe4-b21d-4bf4-a2fa-56f6de7ec33e,57072766,152,53344434,93.47,151.27,8514277,8323640,8427191,71400,7054,8632,0.29,0.01,1.7,0.01,1.43,2495092,4.37,71905,0.13,0,1.89,0.15,0,1075943,85392,32.4136171174363,20310930,6e-04,40.0171,0.978392,187,210.51249,0.141649,93.47,53344434,27.5906635087421,45.5,76,9.09090909090909,57072766,62661720,20310930,1161536,8084046,31871968,1233240,0,0,0,0,0,0,32.4136171174363,8675060432,8445813535,48336,1726096210,1653672369,4540642904,525355106,0,0,0,6e-04,20.4373,19.5798,53.7621,6.2203,40.0171,38.9596,0,0.504101,0.409116,0.642181,0.562244,229246897
2e2a3b1b-ada1-422e-be36-0239d4825a22,65694180,152,60829048,92.59,151.34,10527798,10327340,10420617,90435,9030,7716,0.28,0.01,1.64,0.01,1.42,3652228,5.56,99714,0.15,0,1.56,0.13,0,1027560,85630,33.4183225374996,24993396,3e-04,43.8293,0.981537,171,189.476695,0.190666,92.59,60829048,30.4550840236488,46,76,13.6363636363636,65694180,74789499,24993396,1674529,12747547,34161123,1212904,0,0,0,0,0,0,33.4183225374996,9985515360,9756158977,32072,2150468057,2125588273,4815995214,664075818,0,0,0,3e-04,22.0422,21.7871,49.3636,6.8067,43.8293,42.8226,0,0.501693,0.393577,0.719111,0.505225,229356383
3005a9d9-24c6-4fb6-b5e7-a367a196bd49,78889281,152,73086464,92.64,151.26,12180374,11887776,12058440,100605,10046,11283,0.31,0.01,1.63,0.01,1.43,4193924,5.32,94718,0.12,0,1.79,0.13,0,1411653,102522,33.259430249885,29611809,1e-04,42.8169,0.979606,178,199.478392,0.183922,92.64,73086464,32.9666120456642,46,76,9.09090909090909,78889281,89032821,29611809,1891131,14337464,41583524,1608893,0,0,0,0,0,0,33.259430249885,11991170712,11686779378,16416,2483663733,2520256365,5919509668,763333570,0,0,0,1e-04,21.2519,21.565,50.6513,6.5316,42.8169,41.73,0,0.480318,0.394583,0.691776,0.525969,304391334
31267684-4b86-479e-8825-192fe5cd52ac,62937745,152,58361448,92.73,151.28,10691039,10449478,10583916,88493,9221,9409,0.29,0.01,1.63,0.01,1.43,3355445,5.33,63658,0.1,0,1.72,0.12,0,1081725,75469,35.3704381957148,25056770,6e-04,45.4918,0.980602,181,201.862308,0.162987,92.73,58361448,31.1265743036441,46,76,9.09090909090909,62937745,70840994,25056770,1594411,11258694,31710267,1220852,0,0,0,0,0,0,35.3704381957148,9566537240,9334106282,55480,2160200226,2086056914,4478407403,609391032,0,0,0,6e-04,23.1431,22.3488,47.979,6.5286,45.4918,44.3866,0,0.489228,0.414696,0.67071,0.563519,232430958
33575b11-dab8-449e-b0c6-5a25120f7e00,64851995,152,60397332,93.13,151.24,9376173,9189552,9278341,81655,8017,8160,0.31,0.01,1.71,0.01,1.43,3006909,4.64,61142,0.09,0,2,0.14,0,1295899,90713,32.923356325872,23620246,2e-04,41.0178,0.977676,196,224.79334,0.151123,93.13,60397332,28.2644312886142,45,76,9.09090909090909,64851995,71743129,23620246,1411032,9898043,35366054,1447754,0,0,0,0,0,0,32.923356325872,9857503240,9588054387,19912,1935488051,1997319596,5011591125,643636198,0,0,0,2e-04,20.1865,20.8313,52.2691,6.7129,41.0178,39.8966,0,0.496357,0.391417,0.737614,0.514613,269448853
