sample_site,ensemblID,beta
Macula,ENSG00000184384,0.00897618853835133
Macula,hsa-miR-30c-2-3p,0.0139651434861737
Macula,ENSG00000245498,0.00899858983721649
Macula,ENSG00000171169,0.00262829691805902
Macula,ENSG00000277157,0.00791362986955531
Macula,ENSG00000105974,0.00545100600529205
Macula,ENSG00000091317,0.00802674131248336
Macula,ENSG00000138696,0.00551766683177534
Macula,hsa-miR-329-3p,-0.00101236568138927
Macula,ENSG00000126934,-0.0128396422156306
Macula,hsa-miR-30a-5p,0.0102777377052171
Macula,hsa-miR-148a-3p,0.00762252022230413
Macula,ENSG00000204580,0.00497747459202456
Macula,ENSG00000196352,-0.00273349180841842
Macula,hsa-miR-192-5p,0.00354588612611775
Macula,ENSG00000101367,-0.00152299902068593
Macula,ENSG00000239665,0.00740319476720693
Macula,ENSG00000197555,0.00638421462651675
Macula,ENSG00000155367,0.00583660102777234
Macula,ENSG00000134438,0.00282680470981027
Macula,ENSG00000278467,0.00601812601067696
Macula,ENSG00000183423,0.0041342474962183
Macula,ENSG00000249364,0.0055114040758456
Macula,ENSG00000115282,0.00212388369556464
Macula,ENSG00000143248,-0.00470468945201806
Macula,ENSG00000272913,0.0068155288364471
Macula,ENSG00000112877,0.00132640425747292
Macula,ENSG00000169515,0.00206132383721828
Macula,ENSG00000114735,0.000823134280980831
Macula,ENSG00000174963,0.00358507158341614
Macula,ENSG00000178947,0.00599483143454049
Macula,hsa-miR-129-2-3p,-0.00420376520088717
Macula,ENSG00000166770,0.00899743560845735
Macula,ENSG00000129680,0.00260834933379506
Macula,ENSG00000138867,0.00156295384145409
Macula,ENSG00000087086,0.00263076834354053
Macula,ENSG00000245849,0.00706142654247633
Macula,ENSG00000156110,-0.00636250826001642
Macula,ENSG00000231177,0.0053352723740389
Macula,ENSG00000089597,-0.00037038381012675
Macula,ENSG00000112186,-0.00185358728712948
Macula,ENSG00000176641,-0.000951318471293489
Macula,ENSG00000140022,0.00702340039687107
Macula,ENSG00000267080,0.000531668047064848
Macula,ENSG00000167920,0.0107790467487613
Macula,ENSG00000135250,-0.00264396869911326
Macula,ENSG00000276529,-0.0052814913487633
Macula,ENSG00000069849,-0.00583926602000097
Macula,hsa-miR-26b-5p,0.000727880998969574
Macula,ENSG00000160993,0.00270248342712203
Macula,ENSG00000115290,-0.00213648692250992
Macula,ENSG00000185591,0.000964554920791801
Macula,ENSG00000168490,-0.00074783772169094
Macula,ENSG00000068366,-0.00392802309760016
Macula,ENSG00000257923,-0.00398020835046196
Macula,ENSG00000124194,-0.00146646584272066
Macula,ENSG00000120370,0.00124225443758564
Macula,ENSG00000225032,0.00339515649051896
Macula,ENSG00000144579,-0.0002768453801879
Macula,ENSG00000155666,0.00111443217025529
Macula,ENSG00000239911,-0.00151480391114843
