ensemblID,analysis,sample_site,group,Precursor,geneID,ensemblID.y,type,entrezID,score
ENSG00000001497,DP,Macula,DP.Macula,"",LAS1L,ENSG00000001497,ENS,81887,1
ENSG00000003147,DP,Macula,DP.Macula,"",ICA1,ENSG00000003147,ENS,3382,2
ENSG00000003147,DE,Macula,DE.Macula,"",ICA1,ENSG00000003147,ENS,3382,2
ENSG00000003249,DP,Macula,DP.Macula,"",DBNDD1,ENSG00000003249,ENS,79007,1
ENSG00000004660,DP,Macula,DP.Macula,"",CAMKK1,ENSG00000004660,ENS,84254,2
ENSG00000004660,DE,Macula,DE.Macula,"",CAMKK1,ENSG00000004660,ENS,84254,2
ENSG00000005075,DP,Macula,DP.Macula,"",POLR2J,ENSG00000005075,ENS,5439,2
ENSG00000005075,DP,Periphery,DP.Periphery,"",POLR2J,ENSG00000005075,ENS,5439,2
ENSG00000005339,DE,Periphery,DE.Periphery,"",CREBBP,ENSG00000005339,ENS,1387,1
ENSG00000005483,DE,Periphery,DE.Periphery,"",KMT2E,ENSG00000005483,ENS,55904,1
ENSG00000005513,DE,Macula,DE.Macula,"",SOX8,ENSG00000005513,ENS,30812,1
ENSG00000005810,DP,Macula,DP.Macula,"",MYCBP2,ENSG00000005810,ENS,23077,1
ENSG00000006015,DE,Periphery,DE.Periphery,"",REX1BD,ENSG00000006015,ENS,55049,1
ENSG00000006042,DE,Periphery,DE.Periphery,"",TMEM98,ENSG00000006042,ENS,26022,1
ENSG00000006740,DP,Macula,DP.Macula,"",ARHGAP44,ENSG00000006740,ENS,9912,1
ENSG00000007168,DP,Macula,DP.Macula,"",PAFAH1B1,ENSG00000007168,ENS,5048,2
ENSG00000007168,DE,Macula,DE.Macula,"",PAFAH1B1,ENSG00000007168,ENS,5048,2
ENSG00000007545,DP,Macula,DP.Macula,"",CRAMP1,ENSG00000007545,ENS,57585,1
ENSG00000008018,DE,Periphery,DE.Periphery,"",PSMB1,ENSG00000008018,ENS,5689,1
ENSG00000008056,DP,Macula,DP.Macula,"",SYN1,ENSG00000008056,ENS,6853,2
ENSG00000008056,DE,Macula,DE.Macula,"",SYN1,ENSG00000008056,ENS,6853,2
ENSG00000008294,DE,Periphery,DE.Periphery,"",SPAG9,ENSG00000008294,ENS,9043,1
ENSG00000008324,DE,Periphery,DE.Periphery,"",SS18L2,ENSG00000008324,ENS,51188,1
ENSG00000008952,DE,Periphery,DE.Periphery,"",SEC62,ENSG00000008952,ENS,7095,1
ENSG00000009307,DE,Periphery,DE.Periphery,"",CSDE1,ENSG00000009307,ENS,7812,1
ENSG00000010256,DE,Periphery,DE.Periphery,"",UQCRC1,ENSG00000010256,ENS,7384,1
ENSG00000010292,DP,Macula,DP.Macula,"",NCAPD2,ENSG00000010292,ENS,9918,1
ENSG00000010361,DP,Macula,DP.Macula,"",FUZ,ENSG00000010361,ENS,80199,4
ENSG00000010361,DP,Periphery,DP.Periphery,"",FUZ,ENSG00000010361,ENS,80199,4
