cellType,p_val,avg_logFC,pct.1,pct.2,p_val_adj,ensemblID,cellTypeShort,geneID,n,Unique
Unknown,0,2.74596888347755,0.816,0.031,0,ENSG00000225783,Unknown,MIAT,2,FALSE
Unknown,0,1.7124752801795,0.966,0.304,0,ENSG00000214548,Unknown,MEG3,2,FALSE
Unknown,5.77247123443247e-292,1.8892081207824,0.449,0.041,1.24743103376086e-287,ENSG00000130164,Unknown,LDLR,5,FALSE
Unknown,1.00173676194204e-247,1.25168894166495,0.996,0.581,2.16475314255675e-243,ENSG00000245532,Unknown,NEAT1,2,FALSE
Unknown,2.394253167643e-238,1.84313556288783,0.433,0.05,5.17398109527652e-234,ENSG00000160285,Unknown,LSS,2,FALSE
Unknown,1.84225008507626e-209,1.76053521417925,0.498,0.082,3.98110243384979e-205,ENSG00000106772,Unknown,PRUNE2,2,FALSE
Unknown,6.92194107722215e-192,1.56022173926764,0.298,0.026,1.49583146678771e-187,ENSG00000225746,Unknown,MEG8,2,FALSE
Unknown,4.7134135809573e-186,1.40767401322918,0.7,0.188,1.01856867484487e-181,ENSG00000154277,Unknown,UCHL1,4,FALSE
Unknown,1.74392329647773e-170,1.56586784887381,0.296,0.03,3.76861824368837e-166,ENSG00000107105,Unknown,ELAVL2,2,FALSE
Unknown,2.53650880004039e-168,1.39288128480653,0.18,0.008,5.48139551688728e-164,ENSG00000167549,Unknown,CORO6,1,TRUE
Unknown,8.00157860853668e-157,1.56872715669576,0.557,0.14,1.72914113730478e-152,ENSG00000008710,Unknown,PKD1,2,FALSE
Unknown,1.57316394471617e-150,1.47668426489989,0.245,0.023,3.39960728453164e-146,ENSG00000148408,Unknown,CACNA1B,3,FALSE
Unknown,2.09947233778382e-147,1.52029274025634,0.534,0.136,4.53695972195084e-143,ENSG00000112972,Unknown,HMGCS1,3,FALSE
Unknown,7.13760462395407e-147,1.53313077639831,0.34,0.049,1.54243635923648e-142,ENSG00000176884,Unknown,GRIN1,3,FALSE
Unknown,5.60825655786228e-141,1.41108552875973,0.225,0.02,1.21194424215404e-136,ENSG00000170959,Unknown,DCDC1,1,TRUE
Unknown,8.92500536129353e-137,1.510871720341,0.425,0.088,1.92869365857553e-132,ENSG00000257151,Unknown,PWAR6,3,FALSE
Unknown,2.53107349695112e-126,1.42734963453676,0.314,0.048,5.46964982691137e-122,ENSG00000196361,Unknown,ELAVL3,4,FALSE
Unknown,1.05366921541306e-124,1.41446434437384,0.263,0.034,2.27697917450762e-120,ENSG00000100364,Unknown,KIAA0930,1,TRUE
Unknown,3.71858623217552e-113,0.813824392067634,0.885,0.584,8.03586484773131e-109,ENSG00000131711,Unknown,MAP1B,3,FALSE
Unknown,4.27132310473481e-109,1.07784067651552,0.115,0.005,9.23032922933192e-105,ENSG00000168016,Unknown,TRANK1,1,TRUE
Unknown,1.40299553486849e-105,1.45491632858849,0.387,0.092,3.03187335085082e-101,ENSG00000134324,Unknown,LPIN1,3,FALSE
Unknown,7.86124290548263e-100,1.24286915715177,0.377,0.085,1.6988145918748e-95,ENSG00000135406,Unknown,PRPH,3,FALSE
Unknown,1.36560531103198e-98,1.40606033407172,0.257,0.041,2.95107307714011e-94,ENSG00000167702,Unknown,KIFC2,3,FALSE
Unknown,3.44476804134236e-97,0.397832024817442,1,0.977,7.44414373734084e-93,ENSG00000198712,Unknown,MT-CO2,2,FALSE
Unknown,4.81559478780472e-97,1.34565180179493,0.229,0.033,1.0406500336446e-92,ENSG00000176454,Unknown,LPCAT4,3,FALSE
Unknown,1.4065628337129e-95,1.07248575896422,0.682,0.34,3.03958228365359e-91,ENSG00000269821,Unknown,KCNQ1OT1,2,FALSE
Unknown,3.43422471715306e-94,1.4527306794487,0.332,0.075,7.42135961376777e-90,ENSG00000160460,Unknown,SPTBN4,3,FALSE
Unknown,4.9470333044591e-93,1.26026680764693,0.206,0.028,1.06905389709361e-88,ENSG00000125895,Unknown,TMEM74B,2,FALSE
Unknown,3.72165512773788e-90,0.29586472194095,1,0.99,8.04249673104156e-86,ENSG00000251562,Unknown,MALAT1,1,TRUE
Unknown,1.78612897451811e-88,1.28190317441783,0.287,0.057,3.85982471393364e-84,ENSG00000198910,Unknown,L1CAM,3,FALSE
Unknown,3.40035152929586e-88,1.24428441439455,0.287,0.057,7.34815965480836e-84,ENSG00000185567,Unknown,AHNAK2,2,FALSE
Unknown,2.20820445486402e-87,1.09434422713791,0.113,0.007,4.77192982696115e-83,ENSG00000142185,Unknown,TRPM2,1,TRUE
Unknown,5.44217408239093e-86,0.354831712349945,0.996,0.99,1.17605381920468e-81,ENSG00000198804,Unknown,MT-CO1,2,FALSE
Unknown,1.6919033630105e-84,1.18580001917702,0.496,0.176,3.6562031674657e-80,ENSG00000103034,Unknown,NDRG4,5,FALSE
Unknown,2.19128245806567e-84,1.34474890033261,0.314,0.072,4.73536139187991e-80,ENSG00000169710,Unknown,FASN,3,FALSE
Unknown,2.95635164955411e-83,0.343009361761737,1,0.994,6.38867591468642e-79,ENSG00000198938,Unknown,MT-CO3,2,FALSE
Unknown,1.03228365881826e-81,1.13249713128893,0.466,0.155,2.23076498670627e-77,ENSG00000143153,Unknown,ATP1B1,5,FALSE
Unknown,4.54927201331707e-81,1.38060875694709,0.316,0.076,9.83097682077818e-77,ENSG00000080854,Unknown,IGSF9B,2,FALSE
Unknown,2.40661626850984e-78,1.11686853485034,0.18,0.025,5.20069775624975e-74,ENSG00000138031,Unknown,ADCY3,3,FALSE
Unknown,2.66441673566951e-78,1.32117099284222,0.344,0.093,5.75780456578181e-74,ENSG00000183087,Unknown,GAS6,4,FALSE
Unknown,4.14489116174188e-77,1.35300576471859,0.271,0.059,8.95710980052419e-73,ENSG00000063660,Unknown,GPC1,3,FALSE
