ensemblID,beta,Type,geneID
ENSG00000184384,0.00897618853835133,ENS,MAML2
hsa-miR-30c-2-3p,0.0139651434861737,hsa,
ENSG00000245498,0.00899858983721649,ENS,AP000866.1
ENSG00000171169,0.00262829691805902,ENS,NAIF1
ENSG00000277157,0.00791362986955531,ENS,HIST1H4D
ENSG00000105974,0.00545100600529205,ENS,CAV1
ENSG00000091317,0.00802674131248336,ENS,CMTM6
ENSG00000138696,0.00551766683177534,ENS,BMPR1B
hsa-miR-329-3p,-0.00101236568138927,hsa,
ENSG00000126934,-0.0128396422156306,ENS,MAP2K2
hsa-miR-30a-5p,0.0102777377052171,hsa,
hsa-miR-148a-3p,0.00762252022230413,hsa,
ENSG00000204580,0.00497747459202456,ENS,DDR1
ENSG00000196352,-0.00273349180841842,ENS,CD55
hsa-miR-192-5p,0.00354588612611775,hsa,
ENSG00000101367,-0.00152299902068593,ENS,MAPRE1
ENSG00000239665,0.00740319476720693,ENS,AL157392.3
ENSG00000197555,0.00638421462651675,ENS,SIPA1L1
ENSG00000155367,0.00583660102777234,ENS,PPM1J
ENSG00000134438,0.00282680470981027,ENS,RAX
ENSG00000278467,0.00601812601067696,ENS,AC138393.3
ENSG00000183423,0.0041342474962183,ENS,LRIT3
ENSG00000249364,0.0055114040758456,ENS,AC112206.2
ENSG00000115282,0.00212388369556464,ENS,TTC31
ENSG00000143248,-0.00470468945201806,ENS,RGS5
ENSG00000272913,0.0068155288364471,ENS,AC009237.14
ENSG00000112877,0.00132640425747292,ENS,CEP72
ENSG00000169515,0.00206132383721828,ENS,CCDC8
ENSG00000114735,0.000823134280980831,ENS,HEMK1
ENSG00000174963,0.00358507158341614,ENS,ZIC4
ENSG00000178947,0.00599483143454049,ENS,SMIM10L2A
hsa-miR-129-2-3p,-0.00420376520088717,hsa,
ENSG00000166770,0.00899743560845735,ENS,ZNF667-AS1
ENSG00000129680,0.00260834933379506,ENS,MAP7D3
ENSG00000138867,0.00156295384145409,ENS,GUCD1
ENSG00000087086,0.00263076834354053,ENS,FTL
ENSG00000245849,0.00706142654247633,ENS,RAD51-AS1
ENSG00000156110,-0.00636250826001642,ENS,ADK
ENSG00000231177,0.0053352723740389,ENS,LINC00852
ENSG00000089597,-0.00037038381012675,ENS,GANAB
ENSG00000112186,-0.00185358728712948,ENS,CAP2
ENSG00000176641,-0.000951318471293489,ENS,RNF152
ENSG00000140022,0.00702340039687107,ENS,STON2
ENSG00000267080,0.000531668047064848,ENS,ASB16-AS1
ENSG00000167920,0.0107790467487613,ENS,TMEM99
ENSG00000135250,-0.00264396869911326,ENS,SRPK2
ENSG00000276529,-0.0052814913487633,ENS,AP001505.1
ENSG00000069849,-0.00583926602000097,ENS,ATP1B3
hsa-miR-26b-5p,0.000727880998969574,hsa,
ENSG00000160993,0.00270248342712203,ENS,ALKBH4
ENSG00000115290,-0.00213648692250992,ENS,GRB14
ENSG00000185591,0.000964554920791801,ENS,SP1
ENSG00000168490,-0.00074783772169094,ENS,PHYHIP
ENSG00000068366,-0.00392802309760016,ENS,ACSL4
ENSG00000257923,-0.00398020835046196,ENS,CUX1
ENSG00000124194,-0.00146646584272066,ENS,GDAP1L1
ENSG00000120370,0.00124225443758564,ENS,GORAB
ENSG00000225032,0.00339515649051896,ENS,AL162586.1
ENSG00000144579,-0.0002768453801879,ENS,CTDSP1
ENSG00000155666,0.00111443217025529,ENS,KDM8
ENSG00000239911,-0.00151480391114843,ENS,PRKAG2-AS1
ENSG00000151789,-0.0044054673257277,ENS,ZNF385D
ENSG00000196247,0.0098854793072036,ENS,ZNF107
ENSG00000254469,0.0100693283940821,ENS,AP002495.1
ENSG00000136869,0.00769534875186185,ENS,TLR4
ENSG00000095713,-0.00284155271846674,ENS,CRTAC1
hsa-miR-30d-3p,0.0010412389402606,hsa,
hsa-miR-29a-3p,0.00658595019816503,hsa,
ENSG00000275395,0.000623198617631847,ENS,FCGBP
ENSG00000081138,-0.000823132568911868,ENS,CDH7
hsa-miR-30a-3p,0.0109611450856257,hsa,
ENSG00000229689,0.00777385743447167,ENS,AC009237.3
ENSG00000108091,-0.00147214360559176,ENS,CCDC6
hsa-miR-140-5p,0.000390054761654785,hsa,
hsa-miR-425-3p,0.00444696189287508,hsa,
ENSG00000250571,0.00494336517404391,ENS,GLI4
ENSG00000112852,-0.00767105158941928,ENS,PCDHB2
ENSG00000167720,0.00142665077400862,ENS,SRR
ENSG00000230189,0.000874095271248861,ENS,AC008267.2
ENSG00000104870,0.000570574581778759,ENS,FCGRT
ENSG00000156471,-0.00120890264456761,ENS,PTDSS1
ENSG00000187792,0.00364520914601514,ENS,ZNF70
ENSG00000249673,0.00401689777988856,ENS,NOP14-AS1
ENSG00000107758,-0.000808398415427321,ENS,PPP3CB
ENSG00000117971,0.00335103381036517,ENS,CHRNB4
ENSG00000205544,0.00345645629291755,ENS,TMEM256
ENSG00000088538,-0.00183368494979749,ENS,DOCK3
ENSG00000138131,0.00334332681863236,ENS,LOXL4
ENSG00000167543,-0.00148576273379945,ENS,TP53I13
ENSG00000103769,-0.000650603035158081,ENS,RAB11A
ENSG00000249238,0.00721192733433094,ENS,BCL9P1
ENSG00000129084,-0.00651994998668566,ENS,PSMA1
ENSG00000100568,0.00697312720688448,ENS,VTI1B
ENSG00000168672,0.000388662409607435,ENS,FAM84B
ENSG00000225973,0.00616682052703151,ENS,PIGBOS1
hsa-let-7g-5p,0.00641943985530369,hsa,
ENSG00000187446,0.00115569245936163,ENS,CHP1
ENSG00000125648,0.00142656354505717,ENS,SLC25A23
ENSG00000078269,-0.00257263736392345,ENS,SYNJ2
ENSG00000059377,0.00227618424906339,ENS,TBXAS1
ENSG00000134910,0.00150230466250438,ENS,STT3A
ENSG00000141294,0.00339847263207587,ENS,LRRC46
ENSG00000164951,8.64537600584842e-05,ENS,PDP1
ENSG00000143409,0.0032245126896451,ENS,MINDY1
ENSG00000139116,0.00113717885726205,ENS,KIF21A
ENSG00000003147,-0.00160503535593992,ENS,ICA1
ENSG00000136485,0.00149075122770033,ENS,DCAF7
ENSG00000173638,-0.0067024014319208,ENS,SLC19A1
ENSG00000235437,0.00787175924029458,ENS,LINC01278
ENSG00000122176,0.00721146251691063,ENS,FMOD
ENSG00000160298,0.005005843354723,ENS,C21orf58
ENSG00000068354,-0.00556230105578694,ENS,TBC1D25
ENSG00000010292,0.00593397573908561,ENS,NCAPD2
ENSG00000130055,0.00395760323884148,ENS,GDPD2
ENSG00000213190,0.00108425959734401,ENS,MLLT11
hsa-miR-146a-5p,0.00387293402504104,hsa,
ENSG00000152154,-0.00401036654642602,ENS,TMEM178A
ENSG00000163950,-0.00410389244888356,ENS,SLBP
ENSG00000130669,0.00154643419505414,ENS,PAK4
ENSG00000157680,-0.00571043063586121,ENS,DGKI
ENSG00000197061,0.00587662961442214,ENS,HIST1H4C
