geneID,pathway,species,keggID,include,ensemblID
A2M,Complement and coagulation cascades,Homo sapiens,hsa04610,TRUE,ENSG00000175899
A4GALT,Glycosphingolipid biosynthesis - globo series,Homo sapiens,hsa00603,TRUE,ENSG00000128274
A4GALT,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000128274
AAAS,RNA transport,Homo sapiens,hsa03013,TRUE,ENSG00000094914
AACS,Butanoate metabolism,Homo sapiens,hsa00650,TRUE,ENSG00000081760
AACS,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000081760
AADAT,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000109576
AADAT,Biosynthesis of amino acids,Homo sapiens,hsa01230,TRUE,ENSG00000109576
AADAT,2-Oxocarboxylic acid metabolism,Homo sapiens,hsa01210,TRUE,ENSG00000109576
AADAT,Tryptophan metabolism,Homo sapiens,hsa00380,TRUE,ENSG00000109576
AADAT,Lysine degradation,Homo sapiens,hsa00310,TRUE,ENSG00000109576
AANAT,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000129673
AANAT,Tryptophan metabolism,Homo sapiens,hsa00380,TRUE,ENSG00000129673
AARS,Aminoacyl-tRNA biosynthesis,Homo sapiens,hsa00970,TRUE,ENSG00000090861
AARS2,Aminoacyl-tRNA biosynthesis,Homo sapiens,hsa00970,TRUE,ENSG00000124608
AASDHPPT,Pantothenate and CoA biosynthesis,Homo sapiens,hsa00770,TRUE,ENSG00000149313
AASS,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000008311
AASS,Lysine degradation,Homo sapiens,hsa00310,TRUE,ENSG00000008311
ABAT,GABAergic synapse,Homo sapiens,hsa04727,TRUE,ENSG00000183044
ABAT,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000183044
ABAT,"Alanine, aspartate and glutamate metabolism",Homo sapiens,hsa00250,TRUE,ENSG00000183044
ABAT,Butanoate metabolism,Homo sapiens,hsa00650,TRUE,ENSG00000183044
ABAT,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000183044
ABAT,Propanoate metabolism,Homo sapiens,hsa00640,TRUE,ENSG00000183044
ABAT,beta-Alanine metabolism,Homo sapiens,hsa00410,TRUE,ENSG00000183044
ABCA1,Fat digestion and absorption,Homo sapiens,hsa04975,TRUE,ENSG00000165029
ABCA1,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000165029
ABCA10,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000154263
ABCA12,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000144452
